,Date,ES_Index
0,2000-01-31,100.0
1,2000-02-01,101.12460079778309
2,2000-02-02,101.03512979508653
3,2000-02-03,102.53376909025387
4,2000-02-04,102.17712773228287
5,2000-02-07,101.87392044536674
6,2000-02-08,103.23027599319023
7,2000-02-09,101.23146893989285
8,2000-02-10,101.3029214767686
9,2000-02-11,99.69679271308388
10,2000-02-14,99.83969778683534
11,2000-02-15,100.64245150547389
12,2000-02-16,99.41098256558101
13,2000-02-17,98.89403899444534
14,2000-02-18,96.59202465423185
15,2000-02-21,96.59202465423185
16,2000-02-22,96.28819604090812
17,2000-02-23,97.44821244392529
18,2000-02-24,96.73430840157567
19,2000-02-25,95.5034607880904
20,2000-02-28,96.19934636461917
21,2000-02-29,97.93036173623452
22,2000-03-01,98.85800206280368
23,2000-03-02,98.85800206280368
24,2000-03-03,100.69588557652878
25,2000-03-06,99.57190610515327
26,2000-03-07,96.48453518571446
27,2000-03-08,97.519664980801
28,2000-03-09,100.23237607644799
29,2000-03-10,99.89810246915113
30,2000-03-13,98.75299789991674
31,2000-03-14,97.23820411815142
32,2000-03-15,99.58060467485988
33,2000-03-16,104.14300448597666
34,2000-03-17,104.91841984268014
35,2000-03-20,104.14300448597665
36,2000-03-21,106.22196264585635
37,2000-03-22,106.92654679209173
38,2000-03-23,108.79363264697473
39,2000-03-24,109.60384228250464
40,2000-03-27,108.40592496862295
41,2000-03-28,107.82498477750298
42,2000-03-29,107.84238191691617
43,2000-03-30,105.9926932014464
44,2000-03-31,106.76810855814989
45,2000-04-03,107.68394368297436
46,2000-04-04,107.0675878866203
47,2000-04-05,106.0809215513277
48,2000-04-06,106.85571558162358
49,2000-04-07,107.73675642762164
50,2000-04-10,107.2086289811489
51,2000-04-11,107.03217228138627
52,2000-04-12,104.0553974625029
53,2000-04-13,102.59279509897725
54,2000-04-14,96.35716327215333
55,2000-04-17,99.5458103960334
56,2000-04-18,102.36414698097494
57,2000-04-19,101.48310613497688
58,2000-04-20,101.97643930262316
59,2000-04-21,101.97643930262316
60,2000-04-24,101.25445801697457
61,2000-04-25,104.93581698209331
62,2000-04-26,103.96716911262156
63,2000-04-27,103.38560759509394
64,2000-04-28,102.87487728803441
65,2000-05-01,104.0727946019161
66,2000-05-02,102.2057087470331
67,2000-05-03,100.23237607644792
68,2000-05-04,100.28518882109519
69,2000-05-05,101.39487778509555
70,2000-05-08,100.76112484932827
71,2000-05-09,100.03852223727205
72,2000-05-10,97.78372870403732
73,2000-05-11,99.70424862997521
74,2000-05-12,100.81393759397554
75,2000-05-15,102.7164390540926
76,2000-05-16,103.70310538938516
77,2000-05-17,102.64560784362446
78,2000-05-18,101.60675009009222
79,2000-05-19,99.70424862997515
80,2000-05-22,98.91143613385844
81,2000-05-23,97.41403949150634
82,2000-05-24,98.77039503932986
83,2000-05-25,97.87195705391859
84,2000-05-26,97.32581114162502
85,2000-05-29,97.73091595938999
86,2000-05-30,100.56727101015233
87,2000-05-31,100.21497893703464
88,2000-06-01,102.27591863109349
89,2000-06-02,104.00258471785553
90,2000-06-05,103.61487703950378
91,2000-06-06,103.08612826662345
92,2000-06-07,103.72050252879832
93,2000-06-08,103.35578392752834
94,2000-06-09,103.04387807090562
95,2000-06-12,101.9677407329165
96,2000-06-13,103.73789966821157
97,2000-06-14,103.98083829358902
98,2000-06-15,103.94604401476259
99,2000-06-16,103.2868166962831
100,2000-06-19,104.4319212655175
101,2000-06-20,104.05042685124192
102,2000-06-21,104.01563257241548
103,2000-06-22,102.47474308153035
104,2000-06-23,101.58624631864095
105,2000-06-26,102.66176233022246
106,2000-06-27,102.10629652181467
107,2000-06-28,102.1236936612279
108,2000-06-29,101.20413057795774
109,2000-06-30,101.89815217526366
110,2000-07-03,103.46016676400771
111,2000-07-04,103.21722813863026
112,2000-07-05,101.56884917922773
113,2000-07-06,102.29766505536008
114,2000-07-07,103.75529680762483
115,2000-07-10,103.52975532166057
116,2000-07-11,103.75529680762483
117,2000-07-12,104.51890696258363
118,2000-07-13,104.77924272737431
119,2000-07-14,105.78517018130296
120,2000-07-17,105.64661439240481
121,2000-07-18,104.91779851627246
122,2000-07-19,104.13679122190042
123,2000-07-20,105.247722838716
124,2000-07-21,103.39057820635482
125,2000-07-24,102.83573372435464
126,2000-07-25,103.04387807090566
127,2000-07-26,101.96774073291654
128,2000-07-27,101.60364345805415
129,2000-07-28,99.39917736383622
130,2000-07-31,99.88567594099874
131,2000-08-01,100.47531470182535
132,2000-08-02,100.82263616368212
